PAIS,CAL PROMEDIO,PRECIO PROMEDIO,CANTIDAD DE VINEDOS
Alemania,90,42.3,256
Argentina,87,36.4,531
Armenia,88,14.5,1
Australia,89,35.3,474
Austria,90,30.8,228
Bosnia,87,12.5,1
Brasil,85,23.8,11
Bulgaria,88,14.6,24
Canada,89,35.7,45
Chile,87,20.8,317
China,89,18,1
Chipre,87,16.3,7
Croacia,87,25.5,32
Egipto,84,0,1
Eslovaquia,87,16,1
Eslovenia,88,24.8,25
Espana,87,28.2,1435
Francia,89,41.1,3844
Georgia,88,19.3,24
Grecia,88,22.3,99
Hungria,93,40.6,41
India,90,13.3,1
Inglaterra,92,51.7,17
Israel,90,31.8,47
Italia,89,39.7,2932
Libano,88,30.7,6
Luxemburgo,88,23.3,2
Macedonia,87,15.6,8
Marruecos,89,19.5,2
Mexico,85,26.8,25
Moldavia,87,16.7,11
NuevaZelanda,88,26.9,300
Peru,84,18.1,2
Portugal,88,26.2,430
RepublicaCheca,87,24.3,3
Rumania,86,15.2,19
Serbia,88,24.5,3
Sudafrica,90,24.7,294
Suiza,89,85.3,4
Turquia,88,24.6,15
Ucrania,84,9.2,4
Uruguay,87,26.4,19
USA,89,36.6,5321
